amount,transaction_time_hour,transaction_frequency_24h,merchant_category,location_risk_score,device_risk_score,distance_from_prev_km,prev_amount_ratio,account_age_days,failed_transactions_24h,is_international,is_online,is_fraud
18.13,10,6,clothing,0.045,0.123,20.1,1.09,1514,1,0,1,0
25.6,23,4,grocery,0.113,0.201,5.4,1.09,1085,1,0,1,0
96.18,15,3,dining,0.078,0.33,2.8,0.67,192,0,0,1,0
218.48,9,2,dining,0.055,0.051,18.5,1.19,3435,0,0,1,0
1899.21,3,10,electronics,0.99,0.519,85.6,5.07,355,2,1,1,1
56.69,8,2,retail,0.092,0.235,16.5,1.23,3470,0,0,0,0
34.06,11,1,grocery,0.107,0.12,9.1,1.04,411,0,0,1,0
200.52,13,1,electronics,0.212,0.299,8.1,0.96,1200,0,0,0,0
68.72,10,1,dining,0.119,0.142,8.4,1.4,2176,0,0,1,0
42.89,14,1,gas_transport,0.137,0.091,17.4,0.66,1391,0,1,0,0
12.29,13,3,dining,0.01,0.079,4.3,0.98,3395,0,0,1,0
5.0,17,4,grocery,0.198,0.185,14.6,1.34,2981,0,0,0,0
667.88,4,8,gas_transport,0.552,0.498,651.4,4.93,22,3,1,1,1
129.49,9,3,gas_transport,0.088,0.122,18.0,1.07,1761,0,0,0,0
72.36,10,2,grocery,0.05,0.259,4.1,0.94,2719,0,0,0,0
89.47,10,2,gas_transport,0.247,0.072,2.0,1.19,3347,0,0,1,0
420.35,16,2,retail,0.363,0.266,19.3,0.91,1904,0,0,0,0
244.18,2,4,electronics,0.815,0.463,716.4,8.9,118,1,0,1,1
298.9,22,13,entertainment,0.836,0.372,256.4,5.57,484,0,1,1,1
10.02,23,2,gas_transport,0.124,0.191,3.1,0.59,2953,0,0,1,0
93.16,10,3,health_beauty,0.202,0.029,17.9,0.95,3343,0,0,1,0
105.5,13,4,grocery,0.131,0.301,6.8,0.81,3198,0,0,1,0
60.16,12,4,entertainment,0.025,0.058,10.0,0.66,3545,0,0,1,0
13.9,12,2,travel,0.088,0.193,12.6,0.86,873,0,0,1,0
14.04,13,1,dining,0.127,0.163,12.3,1.08,2375,1,0,1,0
155.11,11,1,grocery,0.01,0.09,8.5,0.68,3542,0,0,1,0
72.42,7,1,gas_transport,0.184,0.147,7.4,1.32,1799,0,1,1,0
164.21,13,3,gas_transport,0.146,0.085,14.4,0.72,3595,0,0,0,0
49.23,20,2,utilities,0.102,0.3,7.8,0.79,572,0,0,0,0
140.77,18,3,utilities,0.362,0.125,6.4,0.56,2935,0,0,1,0
21.56,16,2,grocery,0.343,0.5,0.8,1.4,3542,0,0,1,0
45.51,8,1,grocery,0.092,0.172,11.6,1.09,897,0,0,1,0
96.83,15,3,grocery,0.221,0.253,6.6,0.99,996,0,0,1,0
169.73,11,2,clothing,0.133,0.133,20.8,1.29,1285,0,0,0,0
39.07,13,1,clothing,0.118,0.222,5.4,1.08,2347,0,0,0,0
18.66,12,1,grocery,0.097,0.1,11.9,0.68,1306,0,0,0,0
12.43,10,1,electronics,0.053,0.12,5.0,0.69,1875,0,0,0,0
30.69,10,1,grocery,0.23,0.124,30.8,1.26,1322,0,0,1,0
31.52,22,3,grocery,0.015,0.313,2.6,1.08,1023,0,0,1,0
1665.14,23,9,travel,0.598,0.553,591.8,3.05,17,0,1,1,1
52.21,7,1,gas_transport,0.242,0.084,1.8,1.02,857,0,0,0,0
25.97,8,1,dining,0.05,0.224,1.7,0.79,1109,0,0,1,0
73.97,17,1,health_beauty,0.168,0.189,9.1,0.96,839,0,0,1,0
139.05,15,2,clothing,0.028,0.201,33.8,1.39,1947,0,0,1,0
49.38,14,1,dining,0.02,0.422,14.6,1.18,2165,0,0,0,0
137.37,13,1,retail,0.039,0.246,13.3,0.87,930,0,0,1,0
22.85,14,2,clothing,0.106,0.288,14.6,1.14,1519,0,0,1,0
20.81,15,3,grocery,0.102,0.161,9.8,0.37,3458,0,0,1,0
57.62,6,5,grocery,0.394,0.236,7.3,1.5,2857,0,0,0,0
49.79,16,2,clothing,0.045,0.155,6.5,0.41,234,0,0,1,0
27.0,7,2,grocery,0.387,0.106,3.0,1.01,3386,2,1,1,0
1557.73,22,12,travel,0.919,0.739,1753.3,8.25,195,2,1,1,1
211.63,3,2,gas_transport,0.055,0.228,16.7,1.3,2571,0,0,1,0
20.87,18,2,grocery,0.125,0.277,3.5,1.02,961,0,0,1,0
21.31,12,1,gas_transport,0.177,0.325,2.7,0.82,1272,0,0,0,0
114.14,12,2,travel,0.02,0.172,10.9,0.87,1374,0,0,1,0
120.0,4,4,clothing,0.72,0.93,98.1,7.03,86,4,1,1,1
48.24,12,4,gas_transport,0.141,0.136,9.1,1.22,991,0,0,1,0
62.76,18,4,gas_transport,0.068,0.099,21.0,1.47,3156,0,0,1,0
10.8,15,1,retail,0.194,0.159,14.7,1.43,2446,0,0,1,0
10.79,19,1,grocery,0.111,0.321,5.1,0.85,2918,0,0,1,0
358.29,7,1,electronics,0.224,0.141,13.3,0.94,3358,0,0,1,0
601.94,13,10,travel,0.888,0.844,204.8,5.32,90,4,0,1,1
74.85,17,4,dining,0.131,0.028,5.3,1.58,2334,0,0,1,0
18.54,1,1,gas_transport,0.121,0.06,4.5,1.31,1927,0,0,1,0
223.16,16,10,clothing,0.72,0.776,1332.5,4.2,25,4,0,0,1
8.66,15,3,clothing,0.023,0.102,3.9,0.71,2593,0,0,1,0
136.5,7,1,health_beauty,0.02,0.321,24.1,0.57,2019,0,0,0,0
69.45,2,1,dining,0.185,0.102,22.4,0.47,1225,0,0,1,0
27.72,11,6,dining,0.042,0.139,9.7,0.86,3441,0,0,0,0
46.41,1,1,retail,0.035,0.078,25.2,0.69,2246,0,0,0,0
10.23,22,5,electronics,0.088,0.216,2.6,0.94,431,0,0,1,0
25.92,14,3,health_beauty,0.042,0.308,0.1,1.14,1689,0,0,1,0
88.05,10,1,retail,0.01,0.314,10.2,1.01,3413,0,0,1,0
268.91,13,3,electronics,0.897,0.752,646.3,5.81,121,3,0,1,1
32.56,15,1,dining,0.259,0.202,4.8,1.0,1279,0,0,0,0
140.74,9,1,grocery,0.066,0.283,9.8,1.6,3219,0,0,1,0
44.31,3,5,retail,0.01,0.302,43.4,0.6,1316,0,0,1,0
144.59,16,3,grocery,0.162,0.017,4.2,1.37,1125,0,0,1,0
43.59,14,2,gas_transport,0.03,0.052,28.2,1.69,1607,0,0,0,0
58.61,15,1,electronics,0.036,0.278,1.7,0.97,2763,0,0,0,0
512.85,4,11,entertainment,0.465,0.86,646.8,7.29,212,1,1,1,1
25.03,3,1,dining,0.142,0.235,2.9,1.43,3575,0,0,1,0
49.34,22,1,grocery,0.043,0.206,2.5,0.89,2370,0,0,0,0
3620.74,5,8,grocery,0.4,0.728,876.1,2.23,40,2,0,1,1
14.21,6,1,electronics,0.172,0.466,9.5,1.18,1524,0,0,1,0
45.21,5,1,gas_transport,0.215,0.122,13.8,1.61,2382,0,0,0,0
9.5,11,2,gas_transport,0.147,0.179,15.0,1.31,745,0,0,1,0
122.74,15,2,gas_transport,0.037,0.06,14.0,1.08,340,0,0,0,0
49.31,13,3,gas_transport,0.158,0.108,17.8,1.12,1605,0,0,0,0
41.4,3,3,retail,0.146,0.136,27.3,0.4,378,0,0,0,0
100.31,12,1,dining,0.298,0.194,16.3,1.2,397,0,0,1,0
115.42,10,5,dining,0.344,0.295,7.4,0.86,3124,0,0,1,0
180.76,14,1,dining,0.134,0.095,9.9,1.19,2313,0,0,0,0
7.59,6,1,dining,0.094,0.078,2.0,1.54,1906,0,0,0,0
20.98,7,2,grocery,0.01,0.5,25.0,0.93,500,0,1,1,0
91.48,12,2,clothing,0.073,0.169,2.7,1.25,3255,0,0,0,0
28.62,3,1,grocery,0.13,0.129,25.0,1.46,263,0,0,1,0
54.57,14,1,dining,0.1,0.179,6.5,0.62,3023,0,0,0,0
48.16,9,1,electronics,0.028,0.11,7.1,0.7,3570,0,0,1,0
178.26,19,6,clothing,0.746,0.812,678.8,6.1,58,0,0,1,1
46.44,9,3,grocery,0.08,0.087,3.6,1.89,868,0,0,0,0
14.38,21,1,clothing,0.017,0.137,9.2,1.17,3514,0,1,1,0
17.28,16,3,grocery,0.177,0.32,19.6,1.55,1171,0,0,0,0
50.13,5,4,clothing,0.153,0.017,50.5,0.74,1774,0,0,0,0
695.85,5,10,electronics,0.808,0.35,1415.8,6.6,371,3,0,1,1
37.85,10,1,gas_transport,0.14,0.071,2.2,0.73,2696,0,1,1,0
25.47,11,1,dining,0.1,0.185,1.2,0.91,2395,0,0,0,0
170.22,11,1,travel,0.07,0.099,7.3,0.66,1731,0,0,0,0
213.43,14,7,travel,0.532,0.864,518.4,3.14,142,1,1,1,1
10.26,4,4,dining,0.077,0.225,4.5,1.11,994,0,0,0,0
29.26,3,3,electronics,0.105,0.247,6.0,0.84,2228,0,0,0,0
153.59,15,1,grocery,0.096,0.275,8.1,0.92,1159,0,0,1,0
9.24,13,1,entertainment,0.371,0.109,3.2,0.25,3284,0,0,0,0
32.76,14,1,dining,0.313,0.01,0.5,0.5,3124,0,0,1,0
48.3,13,2,grocery,0.152,0.123,1.1,0.98,1146,0,0,1,0
28.58,11,1,grocery,0.236,0.106,31.4,0.55,373,0,0,0,0
131.31,13,1,clothing,0.112,0.023,42.5,0.65,1611,0,0,0,0
34.75,9,1,electronics,0.082,0.408,3.8,1.22,1756,0,0,1,0
40.7,14,2,clothing,0.104,0.144,2.3,0.97,1700,0,0,0,0
11.89,11,2,grocery,0.246,0.251,5.6,0.87,380,0,0,0,0
43.8,10,4,gas_transport,0.043,0.052,18.9,1.24,3269,0,0,1,0
124.31,20,2,grocery,0.15,0.207,8.3,0.47,3371,0,0,0,0
120.0,2,8,electronics,0.792,0.656,973.5,3.59,78,2,0,1,1
26.94,6,1,clothing,0.087,0.316,14.9,0.66,3267,0,0,1,0
10.86,9,1,gas_transport,0.058,0.053,1.4,0.98,1890,0,0,0,0
12.8,15,1,dining,0.057,0.043,1.7,1.48,3348,0,0,0,0
175.55,17,9,travel,0.622,0.655,560.0,1.8,162,4,1,0,1
54.86,8,2,utilities,0.095,0.304,5.7,0.75,2514,0,0,0,0
14.87,20,1,grocery,0.046,0.271,10.8,1.1,1189,0,1,1,0
13.2,21,3,dining,0.147,0.11,24.8,0.99,3367,0,0,1,0
19.3,18,1,grocery,0.01,0.248,3.7,1.38,3483,0,0,1,0
42.24,16,1,dining,0.06,0.307,0.1,0.91,2315,0,1,0,0
16.98,18,1,retail,0.139,0.248,6.1,0.99,417,0,0,1,0
32.0,15,5,gas_transport,0.45,0.027,0.1,0.85,1607,0,0,1,0
61.98,9,2,gas_transport,0.109,0.01,0.9,0.94,1310,0,0,0,0
37.41,4,1,travel,0.394,0.27,3.8,1.02,1348,0,0,1,0
151.83,17,3,entertainment,0.025,0.146,70.2,0.72,590,0,0,1,0
37.04,13,3,gas_transport,0.13,0.082,18.2,1.35,2273,0,0,1,0
29.61,0,1,dining,0.291,0.142,5.6,1.16,2931,1,0,1,0
20.28,17,2,retail,0.102,0.207,0.8,1.18,913,0,0,1,0
145.06,11,4,electronics,0.166,0.027,5.7,1.01,1583,0,0,0,0
128.24,7,1,electronics,0.209,0.351,37.2,0.96,3031,0,0,0,0
18.36,13,3,grocery,0.157,0.25,60.0,1.24,1088,1,0,0,0
61.38,22,3,grocery,0.139,0.344,4.4,1.03,2467,1,0,0,0
42.5,12,1,electronics,0.104,0.055,0.6,1.13,2803,1,0,0,0
261.84,6,12,clothing,0.641,0.683,326.7,11.64,98,3,0,1,1
110.43,12,2,health_beauty,0.45,0.293,6.7,0.5,2719,0,0,0,0
38.83,7,7,dining,0.45,0.113,10.1,1.36,876,0,0,0,0
49.34,20,2,grocery,0.191,0.178,9.9,1.11,209,0,0,0,0
268.47,12,1,gas_transport,0.236,0.084,1.3,1.26,1496,0,0,0,0
61.9,18,1,retail,0.125,0.236,7.7,0.5,2884,0,0,0,0
159.75,17,3,dining,0.161,0.192,4.8,0.89,3229,0,1,0,0
14.72,7,1,dining,0.167,0.307,7.5,1.04,2428,0,1,1,0
95.57,20,2,grocery,0.333,0.104,19.2,1.04,2786,1,1,0,0
38.66,17,2,dining,0.032,0.235,3.0,0.83,1347,0,0,0,0
147.25,11,1,clothing,0.072,0.325,14.3,1.2,2446,0,0,1,0
27.9,15,3,utilities,0.121,0.078,36.0,0.91,3063,2,0,1,0
15.89,15,2,grocery,0.011,0.247,20.3,1.01,1258,0,0,0,0
56.79,6,3,gas_transport,0.057,0.02,4.0,0.96,337,0,0,1,0
80.59,15,1,entertainment,0.112,0.201,2.0,0.98,202,0,0,1,0
16.52,13,4,clothing,0.087,0.368,3.5,1.41,452,0,0,1,0
65.24,18,2,grocery,0.089,0.077,0.9,0.8,2507,0,0,1,0
88.71,14,1,grocery,0.038,0.448,0.8,1.1,2694,0,0,0,0
93.76,11,1,clothing,0.069,0.07,4.9,0.94,3016,0,1,1,0
20.33,10,1,gas_transport,0.043,0.127,11.2,0.78,2314,0,0,1,0
114.87,11,1,retail,0.22,0.46,7.0,0.96,1805,0,0,0,0
31.35,19,1,health_beauty,0.088,0.297,1.6,0.38,1735,0,0,1,0
53.16,10,2,electronics,0.035,0.113,46.6,0.83,3205,0,0,1,0
52.86,19,1,health_beauty,0.304,0.179,1.8,1.41,3014,0,0,0,0
34.23,18,4,clothing,0.051,0.097,1.4,1.28,2394,0,0,1,0
65.0,11,1,retail,0.113,0.138,4.1,1.17,2002,0,0,0,0
77.13,14,2,dining,0.023,0.078,0.4,0.92,1135,0,0,1,0
31.53,7,3,grocery,0.107,0.445,14.4,1.15,1655,0,0,1,0
206.26,10,1,entertainment,0.06,0.112,28.5,0.98,543,0,0,1,0
41.15,12,2,utilities,0.102,0.5,4.8,0.79,1647,0,0,1,0
58.7,11,3,utilities,0.024,0.292,3.2,1.03,2564,0,0,0,0
10.53,18,2,clothing,0.053,0.305,13.1,0.75,2822,0,0,0,0
41.98,14,1,clothing,0.184,0.286,18.0,1.21,1493,0,0,0,0
32.83,16,5,electronics,0.067,0.137,1.3,1.18,2216,0,0,0,0
7.02,6,1,retail,0.03,0.354,15.4,0.71,1688,0,0,0,0
126.05,13,1,grocery,0.15,0.305,2.2,1.28,584,0,0,1,0
28.81,20,3,grocery,0.021,0.185,15.0,1.31,2061,0,0,1,0
48.95,10,1,gas_transport,0.182,0.298,2.8,0.76,1278,0,0,0,0
94.3,12,2,grocery,0.101,0.069,5.2,1.12,2077,0,0,1,0
41.73,6,1,clothing,0.024,0.258,4.6,1.13,3160,0,0,0,0
78.07,15,4,retail,0.061,0.15,5.6,0.8,742,0,0,0,0
614.67,19,6,electronics,0.932,0.831,119.5,3.86,373,4,0,1,1
51.91,3,1,gas_transport,0.269,0.122,24.1,0.92,1410,0,0,1,0
136.77,17,1,electronics,0.19,0.035,1.8,1.19,2832,0,0,1,0
91.58,15,1,gas_transport,0.182,0.147,8.5,0.88,2923,0,0,1,0
105.38,8,1,dining,0.109,0.058,1.8,1.16,2335,0,0,1,0
94.11,16,1,travel,0.06,0.244,11.6,1.42,1430,1,1,0,0
23.64,13,3,dining,0.079,0.015,4.3,0.86,1273,0,0,1,0
37.29,16,1,gas_transport,0.103,0.126,4.4,1.24,2201,0,0,0,0
36.68,14,4,travel,0.01,0.364,87.5,1.12,1135,0,0,0,0
21.32,5,1,entertainment,0.136,0.085,3.1,0.6,3268,0,0,0,0
79.23,14,1,retail,0.101,0.175,11.0,0.96,408,0,0,1,0
101.92,8,1,grocery,0.088,0.043,19.5,0.75,529,1,0,1,0
67.82,11,1,gas_transport,0.084,0.182,28.0,1.28,999,0,0,0,0
34.59,16,1,grocery,0.032,0.018,2.3,0.84,1114,0,0,1,0
283.14,1,10,electronics,0.672,0.878,461.2,6.35,546,1,1,1,1
27.68,19,3,gas_transport,0.042,0.103,4.5,1.03,1428,0,0,1,0
57.82,13,2,gas_transport,0.097,0.036,12.5,0.73,1671,0,0,1,0
20.71,17,1,entertainment,0.021,0.099,0.2,1.13,2715,0,0,1,0
115.29,12,1,entertainment,0.222,0.218,21.3,0.77,2567,2,0,1,0
80.46,13,2,gas_transport,0.043,0.245,2.0,0.82,627,0,0,0,0
36.46,6,1,travel,0.026,0.146,0.3,0.81,3240,0,0,0,0
30.14,11,1,grocery,0.042,0.04,1.4,0.87,3067,0,0,1,0
41.65,15,1,grocery,0.018,0.161,8.1,1.29,3565,0,0,0,0
147.43,18,1,clothing,0.032,0.323,10.5,0.72,3368,0,0,0,0
5.79,13,2,health_beauty,0.027,0.045,1.7,1.17,2988,0,1,1,0
83.42,9,2,clothing,0.083,0.191,0.3,1.3,1027,0,0,1,0
27.31,11,3,retail,0.169,0.475,4.8,1.41,1773,0,0,1,0
35.23,18,2,grocery,0.186,0.4,4.4,1.41,2676,0,0,1,0
115.54,13,1,grocery,0.06,0.074,1.2,0.87,1507,0,0,1,0
39.72,19,1,gas_transport,0.015,0.165,25.2,0.86,1550,0,0,1,0
38.38,11,2,electronics,0.094,0.169,2.0,0.85,3414,0,0,1,0
23.23,11,1,grocery,0.152,0.207,14.9,0.97,1926,0,0,1,0
139.65,10,1,electronics,0.025,0.138,11.1,1.78,292,0,0,1,0
89.86,8,1,clothing,0.214,0.019,5.2,1.03,2402,0,0,1,0
26.93,13,2,electronics,0.034,0.406,26.3,1.57,797,0,0,1,0
53.71,10,1,electronics,0.018,0.18,1.0,1.33,1196,0,0,0,0
54.96,10,2,clothing,0.027,0.037,3.5,1.38,1111,0,0,0,0
387.82,0,7,travel,0.673,0.926,732.0,3.33,90,2,1,1,1
13.01,21,3,gas_transport,0.199,0.073,46.8,1.48,467,0,0,0,0
26.71,8,1,gas_transport,0.258,0.198,22.5,1.56,839,1,0,0,0
20.89,13,4,gas_transport,0.242,0.408,0.6,0.46,3112,0,0,1,0
19.68,0,6,grocery,0.058,0.231,13.7,1.13,347,0,0,1,0
33.98,11,1,retail,0.246,0.143,2.7,1.35,928,0,0,0,0
33.79,9,4,health_beauty,0.056,0.335,12.4,1.09,2002,1,0,0,0
43.01,6,2,gas_transport,0.024,0.405,11.6,1.42,3530,0,0,0,0
41.93,18,3,grocery,0.172,0.198,10.1,0.97,1576,0,0,0,0
28.03,6,1,gas_transport,0.204,0.098,1.7,1.35,2126,0,0,0,0
48.14,8,1,clothing,0.178,0.056,8.9,1.97,1807,0,0,0,0
17.12,15,3,grocery,0.01,0.03,7.3,0.78,522,0,0,1,0
61.75,10,3,health_beauty,0.134,0.308,16.7,0.99,2466,2,0,1,0
126.07,8,4,grocery,0.022,0.078,8.6,1.62,267,0,0,1,0
89.77,9,2,utilities,0.35,0.069,5.2,0.9,2051,0,0,1,0
37.05,13,1,retail,0.342,0.164,0.1,1.31,1017,0,0,0,0
15.46,17,1,electronics,0.01,0.033,14.2,0.73,1594,0,0,1,0
62.49,9,2,grocery,0.277,0.097,16.0,1.28,3348,0,0,1,0
1358.19,15,7,electronics,0.779,0.645,387.5,7.33,468,4,0,1,1
28.88,18,2,dining,0.089,0.268,12.2,0.96,1494,0,0,0,0
6.34,0,2,gas_transport,0.034,0.227,3.0,1.37,893,1,0,0,0
157.46,20,1,dining,0.031,0.5,4.2,0.65,641,0,0,0,0
1390.64,18,3,entertainment,0.496,0.606,200.5,2.64,6,3,0,1,1
21.29,10,2,grocery,0.12,0.118,20.4,1.2,3252,0,1,0,0
11.58,8,1,clothing,0.308,0.017,5.4,0.42,1339,0,0,1,0
17.48,3,1,retail,0.024,0.056,1.9,1.43,2085,0,0,1,0
45.52,8,1,grocery,0.05,0.013,34.3,1.07,1640,0,0,0,0
42.63,16,2,grocery,0.024,0.323,6.7,1.18,699,0,1,0,0
51.48,11,2,grocery,0.274,0.137,2.6,0.77,3009,0,0,0,0
40.72,21,4,gas_transport,0.058,0.088,7.5,1.07,2362,0,1,1,0
39.4,8,5,entertainment,0.012,0.205,27.8,0.26,865,0,0,1,0
88.74,18,1,gas_transport,0.108,0.288,9.0,1.11,3395,0,0,0,0
44.12,12,1,entertainment,0.022,0.078,0.1,0.77,2598,0,0,1,0
39.59,21,4,electronics,0.45,0.398,8.6,0.64,3477,0,0,1,0
26.92,15,2,clothing,0.245,0.113,3.7,1.46,3200,0,0,0,0
18.44,11,1,grocery,0.079,0.115,0.9,1.12,2670,0,0,1,0
1214.26,6,12,clothing,0.696,0.849,59.8,9.19,42,2,1,1,1
266.8,12,1,utilities,0.056,0.01,7.2,0.84,337,0,0,1,0
70.26,7,1,electronics,0.143,0.188,0.6,1.25,1597,0,0,1,0
646.92,13,7,electronics,0.904,0.839,93.3,5.0,10,0,1,1,1
26.19,11,4,utilities,0.409,0.139,13.1,0.93,385,0,0,0,0
99.04,11,3,gas_transport,0.122,0.193,8.0,0.84,1558,0,0,0,0
145.52,15,1,dining,0.01,0.087,12.3,0.79,3320,0,0,1,0
629.63,21,8,electronics,0.816,0.891,473.8,5.28,444,2,1,1,1
20.31,6,1,dining,0.216,0.047,20.0,1.15,2429,0,0,1,0
8.75,7,1,clothing,0.105,0.202,1.5,0.86,793,0,0,0,0
41.42,22,1,dining,0.169,0.115,6.0,1.09,353,0,0,0,0
37.16,8,4,dining,0.05,0.413,13.1,1.03,250,0,0,0,0
25.85,18,2,health_beauty,0.042,0.324,0.3,1.13,1562,0,0,1,0
36.99,15,2,retail,0.01,0.131,2.2,1.07,2395,0,0,1,0
13.53,12,4,utilities,0.01,0.347,29.1,1.35,3491,0,0,1,0
53.21,11,2,gas_transport,0.158,0.127,6.8,0.82,3007,0,0,0,0
63.2,12,1,dining,0.014,0.108,15.3,0.86,800,0,0,0,0
174.01,22,6,electronics,0.751,0.84,373.4,4.28,265,3,1,1,1
72.21,9,2,grocery,0.08,0.212,11.0,1.16,1010,0,0,1,0
23.38,8,4,travel,0.072,0.138,2.0,0.97,1552,0,0,1,0
287.28,2,3,clothing,0.779,0.948,545.5,6.21,56,1,1,1,1
116.78,10,1,grocery,0.048,0.087,32.9,0.54,1827,2,0,1,0
50.03,11,2,grocery,0.2,0.104,9.3,1.2,1581,0,1,1,0
4715.81,16,5,electronics,0.981,0.577,1606.4,8.25,29,3,0,1,1
31.18,10,4,grocery,0.109,0.206,1.5,1.16,3104,0,0,1,0
73.04,15,1,travel,0.074,0.146,6.5,1.09,1490,0,0,1,0
200.06,13,3,entertainment,0.138,0.122,8.1,0.98,959,0,0,1,0
65.77,10,3,grocery,0.048,0.182,5.8,1.37,1248,0,0,0,0
27.65,7,1,entertainment,0.034,0.063,31.1,1.28,2294,0,0,0,0
18.82,8,1,grocery,0.098,0.073,7.8,0.94,2474,0,0,0,0
35.5,12,1,dining,0.137,0.126,16.8,1.1,3499,0,0,1,0
33.7,7,1,grocery,0.023,0.147,8.3,0.99,382,0,0,1,0
23.41,10,2,clothing,0.066,0.21,25.6,1.29,489,0,0,1,0
83.14,17,1,clothing,0.049,0.104,2.6,1.07,564,0,0,0,0
10.42,7,4,entertainment,0.061,0.432,7.0,0.69,3513,0,1,1,0
66.64,14,1,dining,0.067,0.377,40.8,1.55,208,0,0,1,0
819.85,21,9,electronics,0.969,0.655,1414.2,7.76,20,1,0,1,1
5.0,12,1,electronics,0.286,0.306,11.6,0.8,2009,0,0,1,0
35.48,9,1,gas_transport,0.231,0.316,3.2,0.55,1794,0,0,1,0
27.16,9,1,grocery,0.432,0.379,38.9,1.29,2926,0,0,0,0
102.12,11,2,dining,0.371,0.113,19.2,0.84,3536,0,0,1,0
9.4,9,1,utilities,0.01,0.071,51.8,1.1,2383,0,0,1,0
104.14,19,2,dining,0.037,0.158,3.2,1.05,2508,0,0,0,0
16.58,10,1,grocery,0.45,0.168,7.8,1.38,2083,0,0,0,0
144.41,15,1,retail,0.04,0.243,7.8,1.2,1638,0,0,1,0
22.46,23,1,gas_transport,0.061,0.087,11.3,0.87,435,0,0,1,0
8.45,16,2,electronics,0.168,0.213,11.0,1.38,1780,0,0,0,0
33.87,15,1,entertainment,0.025,0.186,2.0,0.78,2943,0,1,0,0
28.09,15,1,gas_transport,0.233,0.454,16.2,1.21,2661,0,0,0,0
154.53,9,1,grocery,0.263,0.016,5.0,1.23,1020,0,0,1,0
51.88,12,1,gas_transport,0.052,0.068,5.6,0.57,531,0,1,0,0
66.26,17,1,dining,0.054,0.414,9.5,0.96,2788,0,0,0,0
42.86,12,1,health_beauty,0.274,0.195,6.7,1.18,945,0,0,0,0
